Song Name,Artist,Popularity,Track ID
"break up with your girlfriend, i'm bored",Ariana Grande,100,4kV4N9D1iKVxx1KLvtTpjS
7 rings,Ariana Grande,99,14msK75pk3pA33pzPVNtBF
Con Calma,Daddy Yankee,99,5w9c2J52mkdntKOmRLeM2m
MIDDLE CHILD,J. Cole,97,2JvzF1RMd7lE3KmFlsyZD8
Sucker,Jonas Brothers,97,4y3OI86AEP6PQoDE6olYhO
bury a friend,Billie Eilish,97,4NzMOnvSJVNKF7nw5NkXIP
Secreto,Anuel Aa,97,5W83ErFkO3aKAIS1WMi6u0
Dancing With A Stranger (with Normani),Sam Smith,97,6Qs4SXO9dwPj5GKvVOv8Ki
Baila Baila Baila,Ozuna,96,7uH27oIt4a6cIFCA8ZPcyG
i'm so tired...,Lauv,95,7COXchtUOMd6uIT6HvmRaI
Giant (with Rag'n'Bone Man),Calvin Harris,95,5itOtNx0WxtJmi1TQ3RuRd
7 rings,Ariana Grande,95,6ocbgoVGwYJhOv1GgI9NsF
Talk,Khalid,95,0rTV5WefWd1J3OwIheTzxM
Don't Call Me Up,Mabel,93,5WHTFyqSii0lmT9R21abT8
Please Me,Cardi B,93,0PG9fbaaHFHfre2gUVo7AN
"thank u, next",Ariana Grande,93,3e9HZxeyfWwjeyPAMmWSSQ
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,92,1WSGTYKLEpKfNQYYW5Oymt
wish you were gay,Billie Eilish,92,4txc3txsIt81diMzGhrVPS
Pure Water (with Migos),Mustard,92,63cd4JkwGgYJrbOizbfmsp
Who Do You Love (with 5 Seconds of Summer),The Chainsmokers,92,11cDEev79fPKi6uJCjUhu8
bloodline,Ariana Grande,91,2hloaUoRonYssMuqLCBLTX
needy,Ariana Grande,91,1TEL6MlSSVLSdhOSddidlJ
NASA,Ariana Grande,90,4uTvPEr01pjTbZgl7jcKBD
bad idea,Ariana Grande,90,5Il6Oe7lr5XM7A0cWbVQtr
imagine,Ariana Grande,90,39LmTF9RgyakzSYX8txrow
Here With Me,Marshmello,89,5icOoE6VgqFKohjWWNp0Ac
Last Hurrah,Bebe Rexha,89,0i0wnv9UoFdZ5MfuFGQzMy
My Bad,Khalid,89,1DUSuNhF8P5vUGNPpQiZa5
365,Zedd,89,2XWjPtKdi5sucFYtVav07d
Mixed Personalities (feat. Kanye West),YNW Melly,89,6vWEAOUSxohKxhp0K1BsxL
fake smile,Ariana Grande,89,3wFLWP0FcIqHK1wb1CPthQ
Robbery,Juice WRLD,88,6Hj9jySrnFppAI0sEMCZpJ
11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,88,4mGdjNMo0RonTlOEb7cYg4
Nights Like This (feat. Ty Dolla $ign),Kehlani,88,6ZRuF2n1CQxyxxAAWsKJOy
ghostin,Ariana Grande,88,2vdBo4ALPYbHRUPKgtE5iC
Fast,Juice WRLD,88,6MjNilJCVKJq0LfFvo5jWJ
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,87,7dbka99KTWke5o9hRp0JoB
i,Lil Skies,87,4ZT9FnbFu1PaBfV3itxiqT
Keanu Reeves,Logic,87,25F6MWrnFBCXVnpN4n76EK
in my head,Ariana Grande,87,4T652DlATVHe0jdLKaN3Bw
Big Plans,Why Don't We,87,6Yx181fZzA0YE2EkUsYruq
make up,Ariana Grande,86,27356GVuMPFWiJSZCragoM
Red Room,Offset,86,2MJdgSby3DtSS7bUJx2cly
Legacy (feat. Travis Scott & 21 Savage),Offset,86,7pMRoGLEJuFM2wl5pt0R99
I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),Lil Peep,85,2v5JTeM6hSmi5wWy7jiwrI
Empty,Juice WRLD,85,41MCdlvXOl62B7Kv86Bb1v
"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,85,1JkrD47SDpAbyvqKtolcea
Hear Me Calling,Juice WRLD,85,13ZyrkCDmRz5xY3seuAWYk
First Off (feat. Travis Scott),Future,85,3WRIaWsws011vHMd9uzPjG
Sauce!,XXXTENTACION,84,3jq1RpStaB1YGyN3rRZGca
Maze,Juice WRLD,84,4mUIe9gfsdtsVP2zFIl74x
Crushed Up,Future,84,7wcyO1rrH3Ru4t659IjG41
Make Believe,Juice WRLD,84,6eiztdXRkooWsBt2xToMWI
Bleed It,Blueface,84,67fNrBUMc7iWMofdCaoJV9
Project Dreams,Marshmello,84,6GSkLS2y4ZnnZsuRAj975K
Whip (feat. Travis Scott),2 Chainz,82,6Z4rmc0uujCpl8yXe3yjgI
Worth It,YK Osiris,81,4XiGKQqbmnMVxDzUj6j3f2
Bad Girls (feat. Gucci Mane),Lil Skies,81,0hCHNYL8ApQCGNwJrYN1FY
Speed It Up,Gunna,81,3BXXkwyhsHM0EPApHMhQC5
Flaws And Sins,Juice WRLD,81,2BSbCCbaSCzkOEZa6N5901
Ring Ring (with Rvssian feat. Clever),Juice WRLD,80,4zxpssj8DyrfZcEUSUiNxG
Feeling,Juice WRLD,80,2Jh3UqxnHJMyzMzku4uOtE
HeMotions,Juice WRLD,80,6phY2gnvf9WwCiXlLMQOY3
Who Shot Cupid?,Juice WRLD,79,06LFFPPS7MylCZXps3cO4m
Wow. - Remix,Post Malone,78,3IKRHd9ihUdGffgz4Mbgv0
Big,Juice WRLD,78,4rWC4tiO4NCwRHdh6vyu6b
Desire,Juice WRLD,77,15LOSQ3z91ZB2wMiMhiCjZ
Demonz (feat. Brent Faiyaz) - Interlude,Juice WRLD,77,5ZOEulH7fvK4ZkMLTOyKL0
Out My Way,Juice WRLD,77,0baYVkFX4vIXXmIuHRWXDN
ON GOD (feat. Young Thug),Juice WRLD,77,572BChNcXOIvtfn2TGmTKc
Syphilis,Juice WRLD,77,4dOmgE4ULbySxpeGObN8RL
10 Feet,Juice WRLD,76,4Z9cAwlkruSbWblPBthygg
The Bees Knees,Juice WRLD,76,6LkawpJyy0TZJ6Z41gMVyy
Rider,Juice WRLD,75,3usM520kfIRpWNaYOwdnYI
Won’t Let Go,Juice WRLD,75,4yoQbSPoj8H3O8M3EKvC74
She’s The One,Juice WRLD,74,3zM2prB16NRn1zggh1KCY0
Fast,Juice WRLD,62,7xOqvbOC1YtNPDWZFuSegx
Robbery,Juice WRLD,61,6qWh1LcOsSwozALQzQjQ9K
Empty,Juice WRLD,56,0asXblQxI7xlb6zvnwYthO
Hear Me Calling,Juice WRLD,56,09VFNBmWmRee0lAF9G4SdA
Maze,Juice WRLD,54,2SwZf6w3H1Dmeyf8GmTe5Q
Make Believe,Juice WRLD,52,4jv3fPlXI7PRysgxlPqOV3
Feeling,Juice WRLD,51,0bW2sqAbPo5Sg8nFoI92ch
HeMotions,Juice WRLD,50,1VHRlTy0pw6Oucrp2thvcU
Flaws And Sins,Juice WRLD,50,5sp51w0cJguOaNLGwjfCEZ
Who Shot Cupid?,Juice WRLD,49,3rrJuyoyWEovb7zWLeo2eR
Ring Ring (with Rvssian feat. Clever),Juice WRLD,49,5NzxtN1VxKgdddMlcfGWEc
Demonz (feat. Brent Faiyaz) - Interlude,Juice WRLD,49,1yG47ivxmUkmjXtlHdp1W4
Big,Juice WRLD,48,4z6rjYjXCYPHAKTRicq3X3
Wow. - Remix,Post Malone,48,0fcq51a3gOI6gPvzc0YLsk
The Bees Knees,Juice WRLD,48,3qHrQEHl9cYJ2RGdiNixv3
ON GOD (feat. Young Thug),Juice WRLD,47,06W85jvvHUMpny92ARrjLd
10 Feet,Juice WRLD,47,17YYKEkkpL7pLldF7cgwBs
Syphilis,Juice WRLD,47,1gw01hTpwGSEn4KZJpGiB4
Desire,Juice WRLD,47,02w6JQpKao1w93M33MCjsi
Out My Way,Juice WRLD,46,08kRrRHCgSbAUBXFRTIGlZ
Won’t Let Go,Juice WRLD,45,3ASRx3Jn9EBTxGgvJb0CMY
Rider,Juice WRLD,45,3H4gGNYmsQngwyjNSdI80S
She’s The One,Juice WRLD,44,5X9zYpqCGxk22hBK9xVxb3
Wow. - Instrumental,Post Malone,44,1reWqUNMwp5ciYLIufmWLI
