Song Name,Time Added,Song Length
SAD!,2019-03-21T21:36:47Z,2:46
goosebumps,2019-03-21T21:37:10Z,4:03
Psycho (feat. Ty Dolla $ign),2019-03-21T21:37:14Z,3:41
God's Plan,2019-03-21T21:37:17Z,3:18
Lucid Dreams,2019-03-21T21:37:18Z,3:59
XO TOUR Llif3,2019-03-21T21:37:23Z,3:02
Murder On My Mind,2019-03-21T21:37:25Z,4:28
Drip Too Hard (Lil Baby & Gunna),2019-03-21T21:37:28Z,2:25
Mo Bamba,2019-03-21T21:37:30Z,3:03
"FEFE (feat. Nicki Minaj, Murda Beatz)",2019-03-21T21:37:31Z,2:59
Bank Account,2019-03-21T21:37:33Z,3:40
Demons,2019-03-21T21:37:34Z,2:55
Better Now,2019-03-21T21:37:37Z,3:51
Heathens,2019-03-21T21:37:37Z,3:15
Erase Your Social,2019-03-21T21:37:39Z,3:19
Look At Me!,2019-03-21T21:37:41Z,2:06
Ric Flair Drip (& Metro Boomin),2019-03-21T21:37:41Z,2:52
Noticed,2019-03-21T21:37:42Z,2:45
New Freezer (feat. Kendrick Lamar),2019-03-21T21:37:44Z,3:11
"Never Recover (Lil Baby & Gunna, Drake)",2019-03-21T21:37:45Z,3:14
